satisfaction,Customer Type,Age,Type of Travel,Class,Flight Distance,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
satisfied,Loyal Customer,16,Business travel,Business,2803,4,4,4,3,3,3,2,5,1,2,5,3,30,0.0
dissatisfied,Loyal Customer,58,Personal Travel,Eco,930,5,3,5,1,1,1,3,3,4,4,5,1,10,32.0
satisfied,Loyal Customer,51,Personal Travel,Eco,3728,3,3,3,5,5,5,5,4,5,5,5,3,0,0.0
dissatisfied,Loyal Customer,63,Personal Travel,Eco Plus,1867,5,3,4,2,2,2,4,5,5,5,5,2,69,55.0
dissatisfied,Loyal Customer,28,Personal Travel,Eco,1973,5,1,1,3,3,3,5,2,5,3,4,3,0,0.0
satisfied,Loyal Customer,63,Personal Travel,Eco,835,3,3,3,5,5,5,5,5,4,5,4,5,0,0.0
dissatisfied,disloyal Customer,44,Business travel,Eco,2824,2,2,4,4,4,4,3,1,5,4,4,4,22,12.0
satisfied,Loyal Customer,41,Business travel,Business,1554,5,5,5,4,4,4,4,4,4,3,4,3,6,0.0
satisfied,Loyal Customer,40,Business travel,Business,2333,2,2,2,5,4,5,5,5,5,4,5,4,0,0.0
satisfied,disloyal Customer,39,Business travel,Business,1774,4,4,4,2,2,2,5,2,5,5,4,2,0,0.0
satisfied,Loyal Customer,40,Business travel,Business,1786,4,4,4,1,1,4,4,4,4,4,4,3,0,0.0
satisfied,Loyal Customer,42,Business travel,Business,1774,5,5,5,3,4,4,4,4,4,4,4,5,0,0.0
satisfied,Loyal Customer,66,Personal Travel,Eco,435,1,1,1,5,5,5,5,2,1,3,3,5,0,0.0
dissatisfied,disloyal Customer,33,Business travel,Business,1468,3,3,5,3,3,3,3,5,5,4,5,3,0,3.0
dissatisfied,Loyal Customer,40,Personal Travel,Eco,3264,2,4,4,3,3,3,1,5,3,4,3,3,0,0.0
satisfied,Loyal Customer,48,Business travel,Business,2357,5,5,5,4,5,5,5,5,5,4,5,3,73,63.0
satisfied,disloyal Customer,38,Business travel,Eco,1797,4,4,5,3,3,3,4,2,5,2,3,3,0,0.0
satisfied,Loyal Customer,53,Business travel,Business,233,2,2,2,2,5,5,5,5,5,3,5,5,1,0.0
satisfied,Loyal Customer,9,Personal Travel,Eco Plus,1777,2,2,2,4,4,5,5,5,5,5,5,3,0,29.0
satisfied,Loyal Customer,42,Business travel,Business,539,4,4,4,2,5,4,4,4,4,4,4,3,2,0.0
satisfied,Loyal Customer,30,Business travel,Business,3322,0,0,4,4,4,4,1,2,2,3,3,4,25,16.0
satisfied,disloyal Customer,27,Business travel,Eco,1997,5,5,5,2,3,2,3,3,1,3,1,2,0,4.0
satisfied,Loyal Customer,21,Personal Travel,Eco Plus,1390,1,1,1,3,5,4,4,4,4,3,4,3,24,16.0
dissatisfied,Loyal Customer,59,Personal Travel,Eco,2973,5,3,4,2,2,2,5,2,3,5,5,2,0,0.0
dissatisfied,Loyal Customer,56,Personal Travel,Eco,354,1,4,4,2,3,4,4,4,4,3,4,2,0,5.0
satisfied,Loyal Customer,58,Business travel,Business,214,3,4,3,4,4,5,5,5,5,3,5,3,0,0.0
dissatisfied,Loyal Customer,30,Personal Travel,Eco,2054,2,1,4,1,4,3,3,4,4,4,3,4,145,138.0
dissatisfied,disloyal Customer,43,Business travel,Eco,1589,2,2,2,2,2,2,1,2,3,3,3,2,2,0.0
dissatisfied,disloyal Customer,80,Business travel,Business,893,1,1,4,3,4,3,3,1,5,4,3,2,19,0.0
satisfied,Loyal Customer,41,Business travel,Business,2240,4,5,5,4,4,5,5,5,5,4,5,5,0,0.0
dissatisfied,Loyal Customer,9,Personal Travel,Eco,2080,5,3,4,1,1,1,4,2,1,4,3,1,8,7.0
dissatisfied,Loyal Customer,27,Business travel,Business,3296,5,5,5,1,1,1,2,2,4,4,4,1,0,8.0
dissatisfied,Loyal Customer,47,Business travel,Eco,1002,3,3,3,3,3,3,3,1,4,3,4,3,0,0.0
satisfied,Loyal Customer,40,Business travel,Business,3296,3,5,5,3,5,4,4,4,4,4,4,4,27,27.0
dissatisfied,disloyal Customer,25,Business travel,Eco,2398,2,2,3,2,5,3,1,4,4,5,1,5,0,0.0
satisfied,Loyal Customer,47,Business travel,Business,739,4,5,5,4,5,4,4,4,4,5,4,3,0,0.0
satisfied,Loyal Customer,45,Business travel,Business,1799,5,5,5,5,4,5,5,5,5,4,5,3,4,0.0
dissatisfied,Loyal Customer,66,Personal Travel,Eco,957,5,3,1,2,5,3,3,3,3,5,3,3,25,12.0
dissatisfied,Loyal Customer,31,Business travel,Business,3232,4,4,4,4,4,4,2,2,4,2,3,4,9,0.0
dissatisfied,Loyal Customer,42,Personal Travel,Eco,2269,5,5,1,3,3,3,4,5,3,4,3,3,11,0.0
satisfied,Loyal Customer,55,Personal Travel,Eco,1766,5,5,5,3,5,2,2,2,2,4,2,4,10,0.0
dissatisfied,disloyal Customer,36,Business travel,Eco,1390,3,2,1,5,5,5,1,3,5,5,5,5,0,0.0
dissatisfied,Loyal Customer,41,Business travel,Business,99,3,5,3,4,4,2,2,2,4,1,2,3,0,0.0
satisfied,Loyal Customer,34,Business travel,Business,2597,3,3,3,3,5,4,4,4,4,5,4,5,12,0.0
satisfied,disloyal Customer,24,Business travel,Eco,2323,5,5,4,5,5,5,5,4,4,5,5,5,11,10.0
satisfied,Loyal Customer,46,Business travel,Business,2160,5,1,5,4,4,4,4,4,4,4,4,4,27,10.0
satisfied,Loyal Customer,41,Business travel,Business,625,1,1,1,5,5,5,5,5,5,5,5,3,0,0.0
satisfied,Loyal Customer,8,Business travel,Business,2033,2,2,2,5,5,5,3,4,5,5,5,5,2,2.0
satisfied,Loyal Customer,10,Personal Travel,Eco Plus,2073,1,1,1,4,4,5,5,5,5,4,5,3,0,0.0
dissatisfied,Loyal Customer,33,Personal Travel,Eco,1157,2,4,3,5,5,5,2,3,3,2,3,5,0,0.0
dissatisfied,Loyal Customer,24,Personal Travel,Eco Plus,2392,5,4,4,2,2,2,3,2,5,5,5,2,0,0.0
satisfied,Loyal Customer,66,Personal Travel,Eco,597,1,1,1,4,4,4,4,4,4,4,4,5,78,82.0
dissatisfied,Loyal Customer,27,Business travel,Business,5181,1,1,1,2,2,2,2,4,2,3,2,2,0,0.0
dissatisfied,Loyal Customer,45,Personal Travel,Eco,1473,5,2,4,3,1,3,2,2,1,4,5,3,0,0.0
satisfied,disloyal Customer,25,Business travel,Business,3116,0,5,1,5,5,4,3,4,5,5,4,5,241,241.0
dissatisfied,disloyal Customer,57,Business travel,Eco,2049,2,2,2,1,1,1,1,2,1,3,2,1,25,9.0
satisfied,Loyal Customer,40,Business travel,Business,416,5,5,5,4,4,5,5,5,5,4,5,4,20,10.0
satisfied,Loyal Customer,58,Business travel,Business,2262,2,2,2,3,5,4,4,4,4,3,4,4,0,0.0
satisfied,Loyal Customer,26,Business travel,Business,1314,5,5,5,4,4,4,5,4,5,4,4,4,16,11.0
dissatisfied,Loyal Customer,64,Business travel,Eco,2170,1,1,1,4,4,4,4,4,4,4,4,4,0,2.0
satisfied,Loyal Customer,57,Personal Travel,Eco,444,2,2,2,4,4,5,5,5,5,3,5,1,0,0.0
satisfied,Loyal Customer,62,Business travel,Business,607,2,2,2,2,4,4,4,4,4,5,4,1,0,1.0
dissatisfied,Loyal Customer,53,Business travel,Business,234,5,5,5,3,4,2,2,3,2,4,2,3,24,23.0
satisfied,Loyal Customer,48,Business travel,Business,2044,1,1,1,2,4,4,4,4,4,4,4,4,2,0.0
satisfied,Loyal Customer,31,Business travel,Business,5088,3,3,3,5,5,5,4,4,4,5,4,5,0,0.0
dissatisfied,disloyal Customer,12,Business travel,Eco,1480,0,1,3,4,4,4,5,5,1,4,3,4,0,0.0
satisfied,Loyal Customer,43,Business travel,Business,2932,2,2,2,5,4,4,4,5,4,5,4,4,0,3.0
satisfied,Loyal Customer,23,Business travel,Business,2865,1,5,5,5,5,5,5,2,5,3,5,5,3,0.0
dissatisfied,Loyal Customer,68,Personal Travel,Eco Plus,1576,4,4,4,3,1,3,4,4,4,4,5,3,24,41.0
satisfied,Loyal Customer,36,Business travel,Eco Plus,2443,1,1,1,5,5,5,1,3,1,3,4,5,0,22.0
dissatisfied,disloyal Customer,29,Business travel,Business,2211,1,1,3,3,3,3,3,2,4,5,5,3,0,0.0
dissatisfied,Loyal Customer,50,Personal Travel,Eco,2114,5,3,1,4,5,4,5,4,4,5,5,4,15,7.0
satisfied,Loyal Customer,40,Business travel,Business,2093,1,1,1,5,4,4,4,4,4,4,4,4,0,0.0
dissatisfied,Loyal Customer,51,Business travel,Eco,1487,1,1,1,2,4,2,2,2,2,4,2,3,2,0.0
dissatisfied,Loyal Customer,49,Business travel,Eco,1755,2,2,2,2,2,2,4,1,3,2,4,2,0,0.0
satisfied,Loyal Customer,59,Personal Travel,Eco,1133,2,5,4,2,4,2,2,2,2,4,2,3,0,0.0
satisfied,disloyal Customer,22,Business travel,Eco,2389,5,0,1,1,1,1,3,2,4,4,5,1,0,0.0
dissatisfied,Loyal Customer,48,Personal Travel,Eco,1498,2,5,3,2,2,2,4,5,3,3,4,2,0,3.0
dissatisfied,disloyal Customer,21,Business travel,Eco,1229,2,2,3,1,1,1,3,4,3,3,4,1,0,2.0
dissatisfied,Loyal Customer,66,Personal Travel,Eco,2040,2,4,4,2,2,2,3,3,2,2,3,2,2,0.0
satisfied,disloyal Customer,18,Business travel,Eco,1292,4,5,4,4,4,4,3,5,3,5,1,4,0,0.0
dissatisfied,disloyal Customer,7,Business travel,Eco,2841,1,1,3,5,5,5,2,4,3,3,3,5,9,45.0
dissatisfied,Loyal Customer,37,Personal Travel,Eco,1680,4,2,3,2,2,2,4,3,4,3,4,2,0,9.0
satisfied,Loyal Customer,33,Personal Travel,Eco,1871,5,5,5,2,4,4,4,4,4,2,4,4,67,110.0
dissatisfied,Loyal Customer,35,Personal Travel,Eco,2454,2,3,3,2,2,2,3,3,4,1,4,2,7,6.0
satisfied,Loyal Customer,35,Business travel,Eco,2585,4,4,4,5,5,5,3,3,2,3,4,5,0,0.0
dissatisfied,disloyal Customer,36,Business travel,Eco,1303,4,2,5,5,5,5,1,1,3,4,2,5,0,0.0
dissatisfied,Loyal Customer,74,Business travel,Eco,99,0,0,3,2,4,5,5,1,5,4,5,2,15,3.0
satisfied,Loyal Customer,63,Personal Travel,Eco,1468,4,4,4,5,4,4,4,4,4,3,4,3,0,29.0
satisfied,Loyal Customer,50,Business travel,Business,3928,1,1,1,3,4,4,4,4,4,5,4,4,36,27.0
dissatisfied,Loyal Customer,22,Personal Travel,Eco,2251,3,1,2,5,5,5,1,2,3,1,2,5,0,0.0
satisfied,Loyal Customer,30,Business travel,Business,2473,3,3,3,5,5,5,3,3,4,4,4,5,0,0.0
satisfied,Loyal Customer,37,Business travel,Eco,1093,3,3,3,4,4,4,3,4,3,5,2,4,0,0.0
satisfied,Loyal Customer,51,Personal Travel,Eco,2227,4,0,4,5,5,5,2,3,3,1,4,5,0,2.0
dissatisfied,disloyal Customer,37,Business travel,Business,1959,1,1,2,3,3,3,5,5,5,3,5,3,0,0.0
satisfied,Loyal Customer,24,Business travel,Eco Plus,1888,3,3,3,4,5,4,1,5,4,5,4,4,0,0.0
satisfied,Loyal Customer,51,Business travel,Business,1692,4,4,4,5,5,5,5,5,5,5,5,5,39,16.0
satisfied,Loyal Customer,71,Business travel,Business,5147,3,3,3,4,5,5,1,1,2,5,3,5,184,174.0
dissatisfied,disloyal Customer,39,Business travel,Business,1720,2,2,2,3,3,3,5,3,5,4,4,3,0,0.0
satisfied,Loyal Customer,54,Business travel,Business,2412,3,3,3,3,4,4,4,4,4,3,4,3,82,62.0
satisfied,Loyal Customer,16,Personal Travel,Eco,1830,5,5,5,4,4,4,3,3,5,4,4,4,0,0.0
satisfied,Loyal Customer,45,Business travel,Eco,723,3,3,3,1,1,5,5,5,5,4,5,5,8,0.0
dissatisfied,Loyal Customer,37,Business travel,Eco Plus,1584,3,3,3,4,4,4,2,2,4,1,3,4,0,0.0
satisfied,Loyal Customer,21,Personal Travel,Eco,1932,3,3,3,5,5,5,4,5,3,3,4,5,48,72.0
satisfied,Loyal Customer,41,Business travel,Business,111,4,3,3,3,5,5,5,5,4,4,5,3,0,0.0
satisfied,Loyal Customer,67,Personal Travel,Eco,495,4,4,5,1,1,1,4,2,4,5,4,1,32,21.0
satisfied,Loyal Customer,37,Personal Travel,Eco,1303,4,0,1,5,5,5,4,2,4,3,2,5,0,0.0
satisfied,Loyal Customer,41,Business travel,Business,2508,1,1,1,4,4,5,5,5,5,4,5,3,50,27.0
satisfied,disloyal Customer,37,Business travel,Business,1744,5,5,5,4,4,4,5,4,4,3,5,4,10,8.0
dissatisfied,disloyal Customer,38,Business travel,Eco,1749,4,2,3,3,5,3,1,3,3,1,4,3,87,74.0
satisfied,Loyal Customer,64,Personal Travel,Eco,91,1,2,2,5,4,4,4,4,4,4,4,4,0,0.0
satisfied,Loyal Customer,26,Business travel,Business,5004,2,2,2,5,5,5,3,4,5,5,4,5,299,285.0
satisfied,Loyal Customer,46,Business travel,Business,1894,2,2,2,5,4,5,5,5,5,4,5,4,1,11.0
satisfied,disloyal Customer,29,Business travel,Eco,1785,5,5,2,4,4,4,2,3,5,5,5,4,0,0.0
satisfied,Loyal Customer,35,Business travel,Business,1603,4,4,4,1,2,5,5,5,5,4,5,3,0,7.0
satisfied,Loyal Customer,60,Personal Travel,Eco,222,1,1,1,2,5,5,5,5,5,3,5,5,0,0.0
satisfied,disloyal Customer,39,Business travel,Business,1311,2,2,4,5,3,5,5,2,5,4,4,5,0,0.0
satisfied,Loyal Customer,42,Business travel,Business,2726,4,4,4,3,4,5,5,5,5,3,5,5,7,2.0
satisfied,Loyal Customer,27,Personal Travel,Eco,2594,5,4,2,4,4,4,3,2,4,5,5,4,15,0.0
satisfied,Loyal Customer,39,Business travel,Business,2681,5,3,3,2,4,4,4,4,4,4,4,5,25,6.0
dissatisfied,Loyal Customer,67,Personal Travel,Eco,2694,5,1,2,1,1,5,4,5,4,1,3,1,156,153.0
satisfied,Loyal Customer,47,Business travel,Business,1894,4,4,4,2,5,5,5,4,5,2,5,1,0,0.0
satisfied,Loyal Customer,47,Business travel,Business,2134,4,4,4,5,4,5,5,5,5,3,5,3,0,0.0
satisfied,Loyal Customer,48,Business travel,Business,1834,5,5,5,2,4,4,4,5,4,5,4,5,36,52.0
dissatisfied,Loyal Customer,48,Business travel,Eco,1269,4,4,4,3,3,3,3,4,3,3,4,3,16,8.0
satisfied,disloyal Customer,50,Business travel,Business,2028,5,5,4,1,1,1,4,5,5,5,4,1,0,0.0
dissatisfied,disloyal Customer,35,Business travel,Eco,1759,0,0,4,4,4,4,3,4,2,2,5,4,0,0.0
satisfied,Loyal Customer,33,Business travel,Eco,1459,5,5,5,5,5,5,4,1,3,2,3,5,4,0.0
dissatisfied,Loyal Customer,40,Business travel,Business,2853,3,3,3,2,4,2,2,2,2,3,2,1,34,43.0
satisfied,Loyal Customer,52,Business travel,Eco,1239,2,2,2,4,4,4,5,1,1,2,1,4,0,2.0
satisfied,Loyal Customer,39,Business travel,Business,3731,5,5,5,2,4,3,3,3,3,4,3,5,0,0.0
dissatisfied,disloyal Customer,21,Business travel,Business,2086,0,2,4,4,4,4,1,2,4,4,3,4,0,9.0
dissatisfied,Loyal Customer,44,Business travel,Business,395,5,5,5,2,3,1,1,1,1,3,1,1,75,71.0
satisfied,Loyal Customer,37,Personal Travel,Eco,2169,1,4,1,3,5,4,4,4,4,3,4,3,2,2.0
dissatisfied,Loyal Customer,34,Personal Travel,Eco,1993,5,4,4,5,5,5,5,2,5,4,4,5,0,9.0
dissatisfied,Loyal Customer,40,Personal Travel,Eco,1516,2,3,3,3,3,3,1,2,3,1,4,3,0,0.0
dissatisfied,Loyal Customer,57,Business travel,Eco,2119,1,1,1,4,4,4,4,2,3,2,2,4,84,79.0
satisfied,disloyal Customer,30,Business travel,Eco Plus,1469,0,0,4,2,2,2,5,3,1,4,2,2,0,0.0
dissatisfied,Loyal Customer,61,Personal Travel,Eco,1529,4,2,2,4,5,4,5,3,5,3,5,4,2,0.0
satisfied,Loyal Customer,59,Business travel,Business,2952,1,4,4,4,5,5,5,5,5,5,5,5,31,27.0
dissatisfied,Loyal Customer,9,Personal Travel,Eco,3121,5,1,4,1,1,1,3,5,4,4,5,1,12,18.0
satisfied,Loyal Customer,26,Business travel,Business,4897,1,1,1,5,5,5,5,5,5,3,4,5,1,0.0
satisfied,Loyal Customer,41,Business travel,Business,3745,4,4,4,2,5,5,5,5,5,4,5,4,11,5.0
dissatisfied,Loyal Customer,59,Personal Travel,Eco,2260,5,4,4,4,2,4,4,2,4,4,4,4,1,0.0
dissatisfied,disloyal Customer,36,Business travel,Business,2288,3,3,1,3,3,3,3,2,4,5,4,3,21,6.0
satisfied,Loyal Customer,24,Personal Travel,Eco,1948,1,5,1,3,4,5,5,5,5,4,5,1,0,0.0
satisfied,Loyal Customer,45,Business travel,Business,407,3,5,5,3,4,5,5,5,5,4,5,3,3,0.0
dissatisfied,Loyal Customer,18,Personal Travel,Eco Plus,1904,5,4,2,5,5,5,5,3,5,5,5,5,12,9.0
satisfied,Loyal Customer,29,Business travel,Business,2909,3,3,3,4,4,4,5,4,5,4,4,4,0,0.0
satisfied,Loyal Customer,25,Business travel,Eco,3141,3,3,3,4,3,4,3,1,4,5,1,4,86,78.0
dissatisfied,disloyal Customer,50,Business travel,Eco,2782,3,3,3,1,1,1,4,4,3,3,3,1,0,8.0
dissatisfied,disloyal Customer,57,Business travel,Business,2639,2,2,3,4,4,4,5,3,5,3,4,4,0,0.0
satisfied,Loyal Customer,59,Business travel,Business,3046,3,3,3,5,5,3,3,2,3,5,3,3,0,0.0
satisfied,Loyal Customer,44,Business travel,Business,3712,2,2,2,5,5,5,5,5,5,4,5,5,63,55.0
dissatisfied,disloyal Customer,39,Business travel,Business,2270,1,1,4,3,3,3,5,5,3,5,1,3,99,110.0
dissatisfied,Loyal Customer,16,Business travel,Business,3847,4,5,4,3,3,3,1,3,4,3,3,3,0,0.0
satisfied,Loyal Customer,35,Business travel,Business,559,5,1,5,4,5,4,4,4,4,4,4,5,0,0.0
satisfied,Loyal Customer,47,Business travel,Business,290,3,4,4,3,5,5,5,5,5,3,5,5,35,40.0
dissatisfied,disloyal Customer,21,Business travel,Eco,1060,2,1,3,1,1,1,3,2,4,2,3,1,0,0.0
dissatisfied,Loyal Customer,16,Personal Travel,Eco,2317,4,4,3,2,2,2,3,2,5,5,5,2,3,0.0
satisfied,Loyal Customer,51,Business travel,Business,3381,0,0,3,2,3,4,4,4,4,1,4,3,31,24.0
satisfied,Loyal Customer,55,Business travel,Business,2275,4,5,4,3,4,4,4,4,4,4,4,3,22,8.0
satisfied,Loyal Customer,51,Business travel,Business,457,2,4,2,2,5,5,5,4,5,4,5,5,14,0.0
satisfied,Loyal Customer,48,Business travel,Eco,365,2,2,2,1,3,5,5,5,5,1,5,4,0,0.0
satisfied,Loyal Customer,13,Personal Travel,Eco,1780,4,4,4,3,4,5,5,5,5,5,5,5,1,0.0
dissatisfied,Loyal Customer,61,Business travel,Business,598,1,1,1,2,1,1,1,1,1,4,1,2,0,0.0
dissatisfied,Loyal Customer,24,Business travel,Eco Plus,1777,1,4,4,0,4,0,3,5,4,1,3,0,0,0.0
dissatisfied,disloyal Customer,38,Business travel,Business,1033,3,3,1,3,3,3,5,2,5,3,5,3,10,32.0
satisfied,disloyal Customer,23,Business travel,Business,1651,0,5,1,4,4,4,4,2,5,5,4,4,80,72.0
dissatisfied,Loyal Customer,71,Business travel,Business,1594,1,4,1,3,3,1,1,1,1,3,1,1,25,15.0
satisfied,Loyal Customer,38,Personal Travel,Eco,2022,4,5,3,2,2,2,1,1,4,4,3,2,0,0.0
satisfied,Loyal Customer,47,Business travel,Business,866,1,1,1,3,5,5,5,5,5,4,5,4,28,27.0
satisfied,Loyal Customer,46,Business travel,Business,618,1,1,1,4,4,5,5,5,5,3,5,3,37,32.0
dissatisfied,Loyal Customer,43,Personal Travel,Eco,1878,2,3,4,4,4,4,3,4,3,3,3,4,14,17.0
satisfied,Loyal Customer,43,Business travel,Business,3287,2,2,2,4,2,4,4,4,4,2,4,5,0,0.0
satisfied,Loyal Customer,35,Business travel,Business,1723,3,1,3,4,5,5,5,5,5,4,5,5,0,0.0
dissatisfied,Loyal Customer,18,Business travel,Business,1127,1,1,1,2,2,2,2,4,3,2,4,2,37,31.0
satisfied,Loyal Customer,46,Business travel,Business,599,3,3,3,5,4,4,4,4,4,4,4,3,0,0.0
dissatisfied,Loyal Customer,15,Personal Travel,Eco,2334,5,1,4,3,3,3,5,3,5,5,5,3,1,0.0
dissatisfied,disloyal Customer,21,Business travel,Eco,2652,2,2,4,2,2,2,2,4,3,2,4,2,19,14.0
satisfied,Loyal Customer,15,Personal Travel,Eco,1383,4,0,2,2,1,2,3,5,1,1,5,2,0,2.0
dissatisfied,disloyal Customer,20,Business travel,Eco,1501,3,2,3,5,1,5,2,1,5,2,1,5,0,0.0
satisfied,Loyal Customer,46,Business travel,Business,207,1,4,1,1,3,4,4,4,3,1,4,1,0,0.0
satisfied,Loyal Customer,31,Business travel,Business,5351,1,1,1,5,5,5,5,4,4,4,4,5,0,0.0
dissatisfied,Loyal Customer,52,Personal Travel,Eco,2201,5,2,2,2,1,3,5,5,5,1,3,1,176,180.0
dissatisfied,Loyal Customer,33,Business travel,Business,3618,2,2,2,3,3,3,3,4,2,1,1,3,0,0.0
dissatisfied,Loyal Customer,36,Personal Travel,Eco,1484,1,2,2,4,4,4,2,4,3,4,2,4,0,0.0
satisfied,Loyal Customer,49,Business travel,Business,2175,3,4,4,5,5,3,2,5,5,5,4,5,216,235.0
dissatisfied,Loyal Customer,57,Personal Travel,Eco,1896,5,2,3,5,5,5,4,5,4,5,5,5,0,0.0
satisfied,Loyal Customer,34,Business travel,Business,1788,3,3,3,2,5,3,3,5,3,3,3,2,50,72.0
dissatisfied,Loyal Customer,68,Personal Travel,Eco Plus,2051,4,4,5,5,5,5,3,4,5,3,4,5,1,16.0
dissatisfied,Loyal Customer,9,Business travel,Business,5764,1,1,1,3,3,4,2,4,3,3,2,3,215,216.0
satisfied,Loyal Customer,67,Personal Travel,Eco,421,2,2,2,2,4,4,4,4,4,5,4,4,0,1.0
dissatisfied,Loyal Customer,44,Personal Travel,Eco,1518,4,4,2,2,2,2,2,5,1,4,5,2,0,0.0
satisfied,Loyal Customer,45,Business travel,Business,1189,1,1,1,4,1,5,5,5,5,5,5,5,0,0.0
satisfied,Loyal Customer,54,Business travel,Eco,312,3,3,3,2,3,4,4,4,4,1,4,4,58,55.0
satisfied,Loyal Customer,7,Personal Travel,Eco,2164,5,5,5,4,4,4,3,2,5,3,3,4,0,0.0
dissatisfied,disloyal Customer,30,Business travel,Business,1610,2,2,5,4,4,4,4,5,5,3,5,4,9,17.0
dissatisfied,disloyal Customer,22,Business travel,Eco,1761,2,2,3,5,2,5,3,1,3,1,3,5,103,114.0
dissatisfied,disloyal Customer,10,Business travel,Eco,2501,3,3,3,5,5,5,4,2,3,5,4,5,0,2.0
satisfied,Loyal Customer,54,Business travel,Business,2799,2,5,2,3,4,2,2,2,2,3,2,4,0,1.0
dissatisfied,disloyal Customer,21,Business travel,Eco,1634,5,2,4,2,2,2,5,2,5,5,5,2,0,0.0
dissatisfied,disloyal Customer,29,Business travel,Business,3501,2,2,1,4,4,4,3,5,3,3,4,4,0,0.0
satisfied,Loyal Customer,47,Personal Travel,Eco,2438,0,0,1,5,5,5,1,1,1,5,5,5,0,0.0
satisfied,Loyal Customer,9,Personal Travel,Eco,2175,1,0,4,5,4,5,4,2,3,2,4,5,0,3.0
satisfied,Loyal Customer,38,Business travel,Eco,887,2,2,2,4,4,4,5,3,2,3,1,4,3,2.0
satisfied,Loyal Customer,49,Business travel,Business,433,5,5,5,3,4,3,3,4,3,4,3,3,23,4.0
dissatisfied,disloyal Customer,38,Business travel,Business,2266,3,3,4,5,5,5,5,3,5,5,4,5,20,7.0
dissatisfied,Loyal Customer,56,Business travel,Eco,2644,4,4,4,2,2,4,4,4,4,2,3,2,225,215.0
dissatisfied,Loyal Customer,45,Personal Travel,Eco,1944,5,4,4,4,2,5,5,4,5,2,4,2,221,252.0
satisfied,Loyal Customer,46,Business travel,Business,2421,5,5,5,2,1,5,5,5,5,4,5,5,0,0.0
dissatisfied,Loyal Customer,35,Personal Travel,Eco,2279,5,3,5,1,1,1,3,2,4,5,4,1,0,0.0
dissatisfied,disloyal Customer,29,Business travel,Business,2659,2,2,2,4,2,4,5,2,4,3,4,4,41,38.0
satisfied,Loyal Customer,55,Personal Travel,Eco,690,4,4,1,4,5,1,1,4,1,5,1,5,0,0.0
satisfied,disloyal Customer,54,Business travel,Business,1842,4,4,2,4,3,4,3,3,5,5,5,4,6,0.0
satisfied,disloyal Customer,43,Personal Travel,Eco,2060,1,5,3,4,4,4,4,4,4,2,4,4,0,0.0
dissatisfied,Loyal Customer,75,Business travel,Eco,59,1,1,1,1,2,3,3,3,3,2,3,3,0,0.0
satisfied,Loyal Customer,47,Personal Travel,Eco,668,4,4,4,5,5,4,4,4,4,5,4,4,0,7.0
dissatisfied,disloyal Customer,21,Business travel,Eco,1827,4,2,4,3,3,3,2,1,2,4,1,3,0,15.0
satisfied,Loyal Customer,29,Personal Travel,Eco,2131,1,1,1,3,4,5,5,5,5,3,5,3,0,0.0
dissatisfied,disloyal Customer,39,Business travel,Business,2569,2,2,4,1,1,1,4,5,5,5,4,1,0,0.0
dissatisfied,Loyal Customer,17,Business travel,Eco Plus,2081,4,4,4,3,2,3,4,2,3,4,3,3,10,4.0
dissatisfied,disloyal Customer,25,Business travel,Eco,1802,2,2,4,2,5,2,4,2,4,3,3,2,0,13.0
satisfied,Loyal Customer,36,Personal Travel,Eco,2570,4,5,3,1,1,1,4,2,3,3,4,1,0,28.0
satisfied,Loyal Customer,49,Business travel,Business,449,3,3,3,3,4,4,4,4,4,5,4,3,7,11.0
satisfied,disloyal Customer,13,Business travel,Business,2276,0,5,3,4,4,4,3,4,3,4,5,4,0,0.0
satisfied,disloyal Customer,25,Business travel,Business,1499,2,0,2,4,4,4,5,5,4,3,4,4,0,0.0
satisfied,Loyal Customer,51,Business travel,Business,2933,3,5,3,5,5,5,5,5,5,5,5,5,4,2.0
satisfied,Loyal Customer,63,Personal Travel,Eco,900,5,4,4,2,5,2,2,4,2,4,2,4,0,0.0
satisfied,Loyal Customer,17,Personal Travel,Eco Plus,1862,4,4,4,2,4,4,4,4,4,4,4,4,0,0.0
dissatisfied,disloyal Customer,36,Business travel,Eco,1528,4,2,3,5,5,5,2,2,3,3,4,5,0,6.0
satisfied,Loyal Customer,45,Business travel,Business,1569,4,4,4,3,3,5,5,5,5,1,5,3,110,121.0
dissatisfied,Loyal Customer,38,Personal Travel,Eco,2089,5,2,3,2,2,2,2,1,1,3,5,2,6,20.0
satisfied,Loyal Customer,44,Business travel,Business,3959,3,3,3,4,3,4,4,4,4,4,4,4,0,0.0
dissatisfied,Loyal Customer,28,Business travel,Business,5216,3,3,3,1,1,4,5,3,3,1,3,1,0,0.0
dissatisfied,disloyal Customer,25,Business travel,Eco,2406,2,2,3,5,5,5,4,3,4,5,2,5,2,5.0
dissatisfied,Loyal Customer,33,Personal Travel,Eco,1411,3,4,3,4,4,4,4,5,5,3,1,4,0,0.0
satisfied,Loyal Customer,70,Personal Travel,Eco,402,2,5,5,4,4,3,3,4,4,4,3,5,0,0.0
